dataset,,diffentropy
aemet,count,50.0
aemet,mean,0.6207671365816888
aemet,std,0.23470503320359176
aemet,min,0.0
aemet,25%,0.5596724699955359
aemet,50%,0.5706883179705231
aemet,75%,0.5817041659455104
aemet,max,1.0
bfs,count,1858.0
bfs,mean,0.4775441765684646
bfs,std,0.22860655764723314
bfs,min,-0.0719056732390082
bfs,25%,0.5297010725004605
bfs,50%,0.5849625007211561
bfs,75%,0.5849625007211561
bfs,max,0.5849625007211561
bibbase,count,214.0
bibbase,mean,-0.04471135161014235
bibbase,std,0.0929845349203077
bibbase,min,-0.08170416594551044
bibbase,25%,-0.08170416594551044
bibbase,50%,-0.08170416594551044
bibbase,75%,-0.08170416594551044
bibbase,max,0.19636773916712724
bibsonomy,count,35637.0
bibsonomy,mean,0.0
bibsonomy,std,0.0
bibsonomy,min,0.0
bibsonomy,25%,0.0
bibsonomy,50%,0.0
bibsonomy,75%,0.0
bibsonomy,max,0.0
bne,count,269.0
bne,mean,0.7175056139170162
bne,std,0.15569862388238742
bne,min,0.0
bne,25%,0.5596724699955359
bne,50%,0.8112781244591328
bne,75%,0.8112781244591328
bne,max,0.9182958340544896
dnb,count,5588.0
dnb,mean,0.3807291043619745
dnb,std,0.24312876354960733
dnb,min,0.0
dnb,25%,0.0
dnb,50%,0.5032583347756457
dnb,75%,0.5435644431995964
dnb,max,0.7219280948873623
dwsmannheim,count,71.0
dwsmannheim,mean,0.5480145090533068
dwsmannheim,std,0.08787366321051861
dwsmannheim,min,0.2670892972558545
dwsmannheim,25%,0.5817041659455104
dwsmannheim,50%,0.5817041659455104
dwsmannheim,75%,0.5817041659455104
dwsmannheim,max,0.5817041659455104
eurostat,count,977.0
eurostat,mean,0.2536883145256435
eurostat,std,0.03864277573790068
eurostat,min,0.0
eurostat,25%,0.2275900661853838
eurostat,50%,0.2630344058337939
eurostat,75%,0.2630344058337939
eurostat,max,0.9182958340544896
eye48,count,3.0
eye48,mean,0.0
eye48,std,0.0
eye48,min,0.0
eye48,25%,0.0
eye48,50%,0.0
eye48,75%,0.0
eye48,max,0.0
fao,count,13.0
fao,mean,0.39459181234821317
fao,std,0.25985531404366247
fao,min,0.0
fao,25%,0.2143723823377255
fao,50%,0.5817041659455104
fao,75%,0.5849625007211561
fao,max,0.5849625007211561
geovocab,count,7679.0
geovocab,mean,0.0
geovocab,std,0.0
geovocab,min,0.0
geovocab,25%,0.0
geovocab,50%,0.0
geovocab,75%,0.0
geovocab,max,0.0
govwild,count,1.0
govwild,mean,0.0
govwild,std,
govwild,min,0.0
govwild,25%,0.0
govwild,50%,0.0
govwild,75%,0.0
govwild,max,0.0
harth,count,101.0
harth,mean,0.22908551993682494
harth,std,0.39040607446323955
harth,min,0.0
harth,25%,0.0
harth,50%,0.0
harth,75%,0.5849625007211561
harth,max,1.0
icane,count,27.0
icane,mean,0.670943163650101
icane,std,0.4384348393389453
icane,min,0.0
icane,25%,0.18517646035809865
icane,50%,1.0
icane,75%,1.0
icane,max,1.0
imf,count,247.0
